rep,var,nlvl,ph_30,ph_45,ph_60,ph_75,ph_90,TL_30,TL_45,TL_60,TL_75,TL_90,FLW_30,FLW_45,FLW_60,FLW_75,FLW_90,DLW_30,DLW_45,DLW_60,DLW_75,DLW_90,FSW_30,FSW_45,FSW_60,FSW_75,FSW_90,DSW_30,DSW_45,DSW_60,DSW_75,DSW_90,FSW_75,FSW_90,DSW_75,DSW_90,LAI_30 ,LAI_45,LAI_60,LAI_75,LAI_90,FET_row,FPh,biomass,g_yield,moisture,thou_gw,test_wt,DoE,DoB,DoH,DoF,DoPM,flag_senc,flag_LA,Spike_len,grain_spike,spikelet_spike,floret_spike,sterility
1,2,4,24.3,66.6,66.6,85.9,92.2,67,69,70,62,58,9.89,29.22,42.33,21.7,4.3,1.73,5.67,11.3,6.93,1.78,5.69,27.99,80.409,97.8,81.21,0.78,4.35,15.11,28.25,32.24,35.96,74.37,12.05,29.53,451.23,1431.49,2489,1342.8,272.88,121,92.2,5.77,2.408,14,37.64,363.3366667,13,69,76,80,104,96,48.206,10.06,65.4,19.4,91.2,2
1,3,4,26.1,68.5,68.5,81.6,93.7,67,69,79,74,68,9.22,38.16,47.42,33.09,26.99,1.34,7.4,12.66,10.57,11.17,5.13,41.99,105.6,132.49,168.21,0.63,6.53,19.85,38.27,66.79,38.9,131.22,13.04,52.1,420.66,1869.46,2788.3,2047.61,1712.79,148,93.7,7.28,3.289,13.2,43.64,381.44,9,69,76,82,107,109,42.17,10.16,57.6,18.8,88.6,6
1,4,4,26.8,73.9,73.9,85.9,93,54,59,62,62,58,12.31,21.74,23.96,23.23,23.13,1.85,4.22,6.4,7.42,9.57,6.01,18.51,54.65,113.51,122.47,0.91,2.88,10.27,32.78,48.63,29.38,85.79,9.85,34.06,561.64,1065.04,1408.85,1437.47,1467.83,149,93,5.75,2.56,10.9,45.83,388.4333333,9,69,76,84,104,104,44.648,11.26,44,18,74.6,19
1,1,5,26.9,67.8,67.8,86.3,92.6,54,50,76,75,71,6.59,23.62,31.42,30.83,11.205,1.1,4.58,8.39,9.85,4.64,2.41,19.49,54.83,96.62,77.317,0.28,3.03,10.3,27.91,30.7,33.5,58.9,11.23,23.39,300.67,1157.14,1847.5,1907.76,711.07,188,92.6,6.62,2.866,13.8,36.66,359.0933333,9,72,76,82,109,103,45.242,10.46,73,18.8,98.8,4
1,2,5,26.7,66.7,66.7,83.7,84.3,68,78,81,78,78,13.13,33.88,38.54,25.73,11.65,2.16,6.57,10.29,8.22,4.82,7.91,33.26,75.46,112.31,83.375,0.93,5.17,14.18,32.44,33.1,33.22,66.11,11.14,26.25,599.06,1659.78,2266.15,1592.17,739.31,145,84.3,6.79,2.848,10.5,39.04,357.17,9,69,76,82,104,97,51.166,11.78,64.8,19.4,88.6,3
1,3,5,24.4,65.4,65.4,85.8,95.4,62,63,68,62,58,3.04,13.18,23.95,17.36,8.23,0.51,2.56,6.39,5.54,3.4,1.87,11.11,69.76,98.33,59.95,0.26,1.73,13.11,28.4,23.8,35.67,51.49,11.96,20.44,138.7,645.69,1408.26,1074.24,522.28,148,95.4,6.66,2.844,11.2,40.7,383.1666667,9,69,76,82,107,104,45.544,10.48,54.2,16.8,79.4,10
1,4,5,24.2,75.3,75.3,88,90.2,54,57,67,60,58,9.45,27.73,39.53,27.43,10.61,1.6,5.38,10.55,8.76,4.39,3.73,21.2,79.2,98.14,73.22,0.78,3.3,14.88,28.35,29.07,34.94,62.59,11.71,24.85,431.16,1358.49,2324.36,1697.37,673.31,194,87.2,6.43,2.636,10.1,47.31,390.3066667,9,69,72,82,104,109,62.1332,12.2,51,18,80.2,7
2,1,1,22.3,49.8,49.8,73.6,74.7,47,55,56,56,54,5.08,10.42,9.31,8.14,1.63,0.96,2.02,2.49,2.6,0.67,1.59,9.73,20.42,47.49,23.31,0.26,1.51,3.84,13.72,9.26,13.12,17.91,4.4,7.11,231.78,510.48,547.43,503.7,103.44,113,74.7,3.21,1.092,13.6,36.3,377.7333333,9,69,76,82,104,99,28.29,8.4,34.2,16.8,57.6,0
2,2,1,22.6,44.2,44.2,65.4,66.6,41,48,55,51,47,4.86,6.5,8.1,5.63,1.62,0.91,1.26,2.16,1.8,0.67,2.15,3.54,20.19,34.6,23.89,0.35,0.55,3.79,9.99,9.49,9.46,19.75,3.17,7.84,221.74,318.44,476.28,348.38,102.81,89,66.6,2.4,0.81,12.1,39.98,379.4866667,9,69,72,80,104,99,23.76,8.52,28.4,15.4,53.2,9
2,3,1,21.7,48.6,48.6,66.5,69.9,47,49,50,44,42,4.94,8.56,9.9,9.36,5.21,0.87,1.66,2.64,2.99,2.16,2.68,8.84,23.56,60.79,35.31,0.36,1.37,4.43,17.56,14.02,16.75,29.67,5.61,11.78,225.39,419.35,582.12,579.2,330.63,75,69.9,2.57,0.822,13.1,39.82,390.6533333,13,69,76,80,107,101,19.332,7.62,41.2,17.2,68.4,14
2,4,1,20.9,53.5,53.5,64.5,71.3,41,46,49,39,32,7.64,12.95,7.03,5.91,2.95,1.85,2.51,1.88,1.89,1.22,6.98,11.3,19.63,42.09,41.76,0.74,1.76,3.69,12.16,16.58,9.61,26.31,3.22,10.45,606.36,634.42,413.36,365.71,187.21,152,71.3,2.28,0.858,9.6,44.89,398.5166667,13,69,76,80,104,99,34.24,9.02,28.6,17.4,55.4,6
2,1,2,25.8,71.3,71.3,71.4,86.9,57,73,74,69,59,6.73,11.12,49.67,27.61,9.6,1.04,2.16,13.26,8.82,3.97,3.45,8.23,80.5,97.34,94.04,0.49,1.28,15.13,28.11,37.34,31.77,76.87,10.65,30.52,307.06,544.77,2920.6,1708.51,609.22,191,96.9,7.58,2.754,12.2,35.32,359.6666667,9,72,76,80,107,107,46.33,10.1,49.2,18.6,91.4,3
2,2,2,25.9,72.2,72.2,82.8,83.5,47,52,60,56,40,8.54,23.8,20.14,12.83,4.973,1.42,4.62,5.38,4.1,2.06,4.4,23.44,47.53,66.93,38.09,0.58,3.64,8.93,19.33,15.12,22.94,60.36,7.69,23.97,389.64,1165.96,1184.23,793.92,315.59,153,83.5,5.53,2.512,15.7,38.58,367.6033333,13,69,76,82,106,104,53.1,12.46,44.8,18.8,76.4,6
2,3,2,23.4,67.8,67.8,78.7,84.4,51,57,61,57,51,6.24,9.65,18.39,21.97,6.2,0.98,1.87,4.91,7.02,2.56,3.14,10.99,40.71,87.11,69.45,0.34,1.71,7.65,25.16,27.57,24.77,48.74,8.3,19.35,284.7,472.75,1081.33,1359.5,393.45,144,94.4,5.83,2.312,11.7,39.21,380.8033333,13,69,76,82,104,107,40.19,10.3,55.4,19.6,85.8,7
2,4,2,26.1,75.3,75.3,84.5,92.9,52,59,62,48,40,9,23.33,38.77,37.36,6.88,1.23,4.52,10.35,11.93,2.85,3.62,18.84,102.48,173.63,104.83,0.35,2.93,19.26,50.15,41.62,52.7,62.05,17.67,24.64,410.63,1142.94,2279.68,2311.84,436.6,105,92.9,6.35,2.75,11.9,47.65,387.07,9,69,76,80,107,104,62.3,12.52,44.6,18,76.4,9
2,1,3,25.1,72.7,72.7,87,97.2,62,72,74,73,59,11,14.47,35.39,16.83,8.19,1.72,2.81,9.45,5.37,3.39,3.69,10.35,67.32,73.34,82.22,0.44,1.61,12.65,21.18,32.64,23.5,61.75,7.88,24.52,501.88,708.89,2080.93,1041.44,519.74,197,97.2,8.18,3.148,11,37.08,355.82,9,72,76,82,107,107,39.38,9.66,61.8,18,85.4,2
2,2,3,24.8,68.6,68.6,88.3,86.1,54,63,68,65,54,6.76,31.2,31.04,29.29,3.23,1.09,6.05,8.29,9.35,1.34,3.76,31.59,64.48,140.48,71.98,0.43,4.91,12.12,40.57,28.58,63.91,53.31,21.42,21.17,308.43,1528.49,1825.15,1812.47,204.98,149,86.1,6.91,2.728,13.3,39.56,359.0333333,9,69,76,82,104,101,44.312,10.9,57.8,18.6,80.4,3
2,3,3,24.6,68.2,68.2,86.8,92.3,57,61,63,57,53,2.95,28.5,19.09,21.31,6.23,0.47,5.53,5.1,6.81,2.58,1.21,31.45,57.55,89.5,91.06,0.18,4.89,10.82,25.85,36.15,28.59,71.22,9.58,28.28,134.59,1396.22,1122.49,1318.66,395.36,156,92.3,6.28,2.626,10.6,40.54,380.0566667,9,69,76,82,106,107,39.47,8.44,56.6,19.8,88,8
2,4,3,26,74.9,74.9,81.9,87.8,63,72,79,73,65,6.73,26.06,34.51,26.19,11.67,0.69,5.05,9.21,8.36,4.83,1.83,19.96,80.54,119.67,84.71,0.21,3.1,15.14,34.56,33.63,38.97,50.05,13.06,19.87,215.81,1276.68,2029.19,1620.64,740.58,175,87.8,7.11,3.018,9.2,37.6,386.3166667,9,69,76,84,104,107,51.514,11.38,56,19.6,87.4,9
2,1,4,25,70.6,70.6,83.1,91.5,67,69,78,67,63,9.1,20.85,42.42,30.09,9.32,1.33,4.04,11.32,9.61,3.86,4.36,17.53,75,111.09,89.03,0.51,2.73,14.1,32.09,35.35,33.34,94.47,11.18,37.51,415.19,1021.44,2494.3,1861.97,591.45,183,91.5,6.98,2.624,11.2,36.3,365.2066667,9,69,76,80,107,104,43.052,10.26,59.8,18,85.8,2
2,2,4,27.3,77.5,77.5,93.4,87.6,57,70,72,72,61,9.47,15.83,95.34,23.7,7.94,1.44,3.07,25.45,7.57,3.28,4.87,12.25,38.87,113.53,76.48,0.62,1.9,7.31,32.79,30.37,39.18,63.62,13.13,25.26,432.07,775.51,5605.99,1466.56,503.87,176,87.6,7.89,3.304,13.3,41.96,369.0966667,9,69,72,82,104,104,50.164,11.98,51.4,17,74.4,6
